686 Закрыто 40702810338000016190_253 1579 Закрыто 40702810338000016190_642
686 Закрыто 40702810338000016190_253 1580 Закрыто 40702810338000016190_643
1588 Перевод собственных средств%внешн%НДС не облагается% 40702810138260110146_29 1589 Перевод собственных средств%внешн%НДС не облагается% 40702810138260110146_30
1595 %Перечисление собственных средств%40702810838000176970%НДС не облагается% 40702810138260110146_31 1596 %Перечисление собственных средств%40702810838000176970%НДС не облагается% 40702810138260110146_32
2127 Свободный номер 40702810338000016190_872 2128 Свободный номер 40702810338000016190_873
2127 Свободный номер 40702810338000016190_872 2129 Свободный номер 40702810338000016190_874
2140 %Перевод собственных средств внешн.%НДС не облагается% 40702810701850000923_32 2141 %Перевод собственных средств внешн.%НДС не облагается% 40702810701850000923_33
1452 %Перевод собственных средств,% 40702810001850000924_01 2145 %Перевод собственных средств,% 40702810001850000924_06
2389 %Перевод%%собственных%%средств%%внеш% 40702810200480044088_01 2390 %Перевод%%собственных%%средств%%внеш% 40702810200480044088_02
2395 %еревод% %руиз контро% 40702810300000232328_05 2396 %еревод% %руиз контро% 40702810300000232328_06
2435 %еревод собственных средств%%внешн% 40702810200480033947_001 2436 %еревод собственных средств%%внешн% 40702810200480033947_002
2432 %Перечисление средств по депозиту% 40702810200480044088_07 2496 %Перечисление средств по депозиту% 40702810200480044088_10
2041 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%027% 40702810103800000578_26 2670 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%027% 40702810103800000578_359
2042 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%027% 40702810103800000578_27 2671 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%027% 40702810103800000578_360
2043 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%027% 40702810103800000578_28 2672 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%027% 40702810103800000578_361
1928 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%043% 40702810103800000578_150 2678 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%043% 40702810103800000578_367
1929 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%043% 40702810103800000578_151 2679 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%043% 40702810103800000578_368
1930 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%043% 40702810103800000578_152 2680 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%043% 40702810103800000578_369
1936 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%049% 40702810103800000578_158 2682 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%049% 40702810103800000578_371
1937 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%049% 40702810103800000578_159 2683 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%049% 40702810103800000578_372
1938 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%049% 40702810103800000578_160 2684 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%049% 40702810103800000578_373
1944 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%056% 40702810103800000578_166 2686 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%056% 40702810103800000578_375
